"CITYCD"	"CITYNAME"	"PROVCD"	"CREATEUSERSEQ"	"CREATEDEPTSEQ"	"CREATETIME"	"UPDATEUSERSEQ"	"UPDATEDEPTSEQ"	"UPDATETIME"
"7055"	"思南县"	"52"						
"7056"	"印江县"	"52"						
"7057"	"德江县"	"52"						
"7058"	"沿河县"	"52"						
"7059"	"松桃县"	"52"						
"7061"	"万山"	"52"						
"7070"	"兴义市"	"52"						
"7072"	"兴仁县"	"52"						
"7073"	"普安县"	"52"						
"7074"	"晴隆县"	"52"						
"7075"	"贞丰县"	"52"						
"7076"	"望漠县"	"52"						
"7077"	"册亨县"	"52"						
"7078"	"安龙县"	"52"						
"7090"	"毕节市"	"52"						
"7092"	"大方县"	"52"						
"7093"	"黔西县"	"52"						
"7094"	"金沙县"	"52"						
"7095"	"织金县"	"52"						
"7096"	"纳雍县"	"52"						
"7097"	"威宁县"	"52"						
"7098"	"赫章县"	"52"						
"7110"	"安顺市"	"52"						
"7117"	"平坝县"	"52"						
"7118"	"普定县"	"52"						
"7119"	"关岭县"	"52"						
"7121"	"镇宁县"	"52"						
"7122"	"紫云县"	"52"						
"7130"	"凯里市"	"52"						
"7132"	"黄平县"	"52"						
"7133"	"施秉县"	"52"						
"7134"	"三穗县"	"52"						
"7135"	"镇远县"	"52"						
"7136"	"岑巩县"	"52"						
"7137"	"天柱县"	"52"						
"7138"	"锦屏县"	"52"						
"7139"	"剑河县"	"52"						
"7141"	"台江县"	"52"						
"7142"	"黎平县"	"52"						
"7143"	"榕江县"	"52"						
"7144"	"从江县"	"52"						
"7145"	"雷山县"	"52"						
"7146"	"麻江县"	"52"						
"7147"	"丹寨县"	"52"						
"7150"	"都匀市"	"52"						
"7152"	"荔波县"	"52"						
"7153"	"贵定县"	"52"						
"7154"	"福泉县"	"52"						
"7155"	"翁安县"	"52"						
"7156"	"独山县"	"52"						
"7157"	"平塘县"	"52"						
"7158"	"罗甸县"	"52"						
"7159"	"长顺县"	"52"						
"7161"	"龙里县"	"52"						
"7162"	"惠水县"	"52"						
"7163"	"三都县"	"52"						
"7310"	"昆明"	"53"						
"7340"	"昭通市"	"53"						
"7342"	"鲁甸县"	"53"						
"7343"	"巧家县"	"53"						
"7344"	"盐津县"	"53"						
"7345"	"大关县"	"53"						
"7346"	"永善县"	"53"						
"7347"	"绥江县"	"53"						
"7348"	"镇雄县"	"53"						
"7349"	"彝良县"	"53"						
"7351"	"威信县"	"53"						
"7352"	"永富县"	"53"						
"7360"	"曲靖市"	"53"						
"7362"	"马龙县"	"53"						
"7363"	"宣威市"	"53"						
"7364"	"富源县"	"53"						
"7365"	"罗平县"	"53"						
"7366"	"师宗县"	"53"						
"7367"	"陆良县"	"53"						
"7369"	"会泽县"	"53"						
"7371"	"沾益县"	"53"						
"7380"	"楚雄市"	"53"						
"7382"	"双柏县"	"53"						
"7383"	"牟定县"	"53"						
"7384"	"南华县"	"53"						
"7385"	"姚安县"	"53"						
"7386"	"大姚县"	"53"						
"7387"	"永仁县"	"53"						
"7388"	"元谋县"	"53"						
"7389"	"武定县"	"53"						
"7391"	"禄丰县"	"53"						
"7410"	"玉溪市"	"53"						
"7412"	"江川县"	"53"						
"7413"	"澄江县"	"53"						
"7414"	"通海县"	"53"						
"7415"	"华宁县"	"53"						
"7416"	"易门县"	"53"						
"7417"	"峨山县"	"53"						
"7418"	"新平县"	"53"						
"7419"	"元江县"	"53"						
"7430"	"个旧市"	"53"						
"7432"	"开远市"	"53"						
"7433"	"蒙自县"	"53"						
"7434"	"屏边县"	"53"						
"7435"	"建水县"	"53"						
"7436"	"石屏县"	"53"						
"7437"	"弥勒县"	"53"						
"7438"	"泸西县"	"53"						
"7439"	"元阳县"	"53"						
"7441"	"红河县"	"53"						
"7442"	"金平县"	"53"						
"7443"	"绿春县"	"53"						
"7444"	"河口县"	"53"						
"7450"	"文山县"	"53"						
"7452"	"砚山县"	"53"						
"7453"	"西畴县"	"53"						
"7454"	"麻栗坡县"	"53"						
"7455"	"马关县"	"53"						
"7456"	"邱北县"	"53"						
"7457"	"广南县"	"53"						
"7458"	"富宁县"	"53"						
"7470"	"思茅市"	"53"						
"7472"	"普洱县"	"53"						
"7473"	"墨江县"	"53"						
"7474"	"景东县"	"53"						
"7475"	"景谷县"	"53"						
"7476"	"镇沅县"	"53"						
"7477"	"江城县"	"53"						
"7478"	"孟连县"	"53"						
"7479"	"澜沧县"	"53"						
"7481"	"西盟县"	"53"						
